"Record your current location;""_Record your current location_latitude"";""_Record your current location_longitude"";""_Record your current location_altitude"";""_Record your current location_precision"";""Site name:"";""Description:"";""What did you find?"";""What did you find?/Site"";""What did you find?/Mound"";""What did you find?/Petroglyph"";""What did you find?/Groundstone"";""What did you find?/Chipped stone"";""What did you find?/Ceramic"";""What did you find?/Flora"";""What did you find?/Fauna"";""What did you find?/Other"";""_index""",,,,,,,
";"""";"""";"""";"""";"""";"""";""#find+ceramic+chipped_stone+groundstone+mound+petroglyph+site+flora+fauna+other"";"""";"""";"""";"""";"""";"""";"""";"""";"""";""""",,,,,,,
"8.268792 -78.149254 0 0;""8.268792"";""-78.149254"";""0"";""0"";""23"";""Quebrada Cañá only that does not dry out except Quebrada Lucas"";""Other"";""0"";""0"";""0"";""0"";""0"";""0"";""0"";""0"";""1"";""1""",,,,,,,
"8.284148 -78.043596 0 0;""8.284148"";""-78.043596"";""0"";""0"";""4"";""Historic (late 19th/early 20th c). Near old school -- probably was unearthed in construction."";""Ceramic"";""0"";""0"";""0"";""0"";""0"";""1"";""0"";""0"";""0"";""2""",,,,,,,
"8.11111 -77.735518 0 0;""8.11111"";""-77.735518"";""0"";""0"";""37"";""Cañon"";""Other"";""0"";""0"";""0"";""0"";""0"";""0"";""0"";""0"";""1"";""3""",,,,,,,
"8.310707 -78.122819 0 0;""8.310707"";""-78.122819"";""0"";""0"";""Terrazza"";""Object ID 15", Soil underneath = reddish brown but soil above = brownish black (tierra negra, seems like barrial -- cracks when it is dry). Wider from 4th terrace on. 16 terraces, heights are variable. soil is way more reddish at the top. some are disturbed from modern human and cow trampling. Irregular top -- terrace before coming down again. NW side slopes down gradually but only 4 steps. Really terraced part (SE) discharges into stream (where you get the most water). First samples taken from between terraces 6 and 7 (horizontal tubes T7 and T8). Terrace 7 width =80cm, terrace 6 width =60cm," depth between them =140cm."";""Site"";""1"";""0"";""0"";""0"";""0"";""0"";""0"";""0"";""0"";""4""",,
"8.27577 -78.151028 0 0;""8.27577"";""-78.151028"";""0"";""0"";""6"";"""";""Ceramic"";""0"";""0"";""0"";""0"";""0"";""1"";""0"";""0"";""0"";""5""",,,,,,,
"8.264503 -78.181473 0 0;""8.264503"";""-78.181473"";""0"";""0"";""28"";""tierra firme"";""Other"";""0"";""0"";""0"";""0"";""0"";""0"";""0"";""0"";""1"";""6""",,,,,,,
"8.287543 -78.27808 0 0;""8.287543"";""-78.27808"";""0"";""0"";""29"";""Punta Barro Colorado"";""Mound"";""0"";""1"";""0"";""0"";""0"";""0"";""0"";""0"";""0"";""7""",,,,,,,
"8.061485 -78.359272 0 0;""8.061485"";""-78.359272"";""0"";""0"";""33"";""Old woman told us she looted human bones and ceramic from here"," was probably a cemetery. was looking for gold. Shells also seem older (combination of small purple shells and larger trumpet conches)"";""Groundstone"";""0"";""0"";""0"";""1"";""0"";""0"";""0"";""0"";""0"";""8""",,,,,,
";"""";"""";"""";"""";""Ch6?"";""object ID 13", Sediment is clayey silt. Is a shell mound very nearby," took sample. Next to a modern house but woman says it is not modern."";""Site"";""1"";""0"";""0"";""0"";""0"";""0"";""0"";""0"";""0"";""9""",,,,,
"8.258018 -78.309208 0 0;""8.258018"";""-78.309208"";""0"";""0"";""31"";""Morro Patiño (isla)"";""Mound"";""0"";""1"";""0"";""0"";""0"";""0"";""0"";""0"";""0"";""10""",,,,,,,
"8.119214 -77.78982 0 0;""8.119214"";""-77.78982"";""0"";""0"";""39"";""point of disembarkation Tuira 1"";""Other"";""0"";""0"";""0"";""0"";""0"";""0"";""0"";""0"";""1"";""11""",,,,,,,
"8.155511 -77.679805 0 0;""8.155511"";""-77.679805"";""0"";""0"";""6"";""SBC1"";""Site"";""1"";""0"";""0"";""0"";""0"";""0"";""0"";""0"";""0"";""12""",,,,,,,
"8.155743 -77.690395 0 0;""8.155743"";""-77.690395"";""0"";""0"";""Guerte de San Geronimo de Yaviza"";""Fort is oriented to river -- 35 degrees NE? La provincia de Darien cuenta con Casas Fuertes", construidas por los españoles entre los años de 1760 a 1785, que estaban equipadas con cañones, protegidas por soldados y tenían como propósito repeler los ataques indígenas, de corsarios, filibusteros y piratas, quienes constantemente atacban las poblaciones ocupadas por España durante la época del Virreinato de Nueva Granada. Uno de los fuertes construidos por los españoles es el Fuerte San Geronimo de Yaviza (río Chucunaque)," reconocido hoy día como Patrimonio Histórico de la Humanidad."";""Site"";""1"";""0"";""0"";""0"";""0"";""0"";""0"";""0"";""0"";""13"""
"8.164868 -77.643602 0 0;""8.164868"";""-77.643602"";""0"";""0"";"""";"""";""Site"";""1"";""0"";""0"";""0"";""0"";""0"";""0"";""0"";""0"";""14""",,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
